2020,Aqgromalin,AgriTech,Cultivating Ideas for Profit,Chennai,Angel investors,,200000
2020,Krayonnz,EdTech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,Bangalore,GSF Accelerator,Pre-seed,100000
2020,PadCare Labs,Hygiene management,Converting bio-hazardous waste to harmless waste,Pune,Venture Center,Pre-seed,NaN
2020,NCOME,Escrow,Escrow-as-a-service platform,New Delhi,"Venture Catalysts, PointOne Capital",,400000
2020,Gramophone,AgriTech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,Indore,"Siana Capital Management, Info Edge",,340000
2020,qZense,AgriTech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,Bangalore,"Venture Catalysts, 9Unicorns Accelerator Fund",Seed,600000
2020,MyClassboard,EdTech,MyClassboard is a full-fledged School / College Management Software.,Hyderabad,ICICI Bank.,Pre-series A,600000
2020,Metvy,Networking platform,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Gurgaon,HostelFund,Pre-series,NaN
2020,Rupeek,FinTech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",Bangalore,"KB Investment, Bertelsmann India Investments",Series C,45000000
2020,Gig India,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,Pune,"Shantanu Deshpande, Subramaniam Ramadorai",Pre-series A,1000000
2020,Slurrp Farm,Food & Bevarages,Slurrp Farm is a children health food brand.,Gurgaon,Fireside Ventures,Series A,2000000
2020,Medfin,HealthTech,Medfin is a Discovery platform for medical procedures and financing.,Bangalore,"Axilor Ventures, S.D. Shibulal",Series A,NaN
2020,MasterG,Fashion startup,MasterG is a design and skill development organisation.,New Delhi,Acumen Fund's angel programme,,NaN
2020,Brila 91,Food & Bevarages,Bira 91 is a craft beer company.,New Delhi,"Sequoia Capital India, Sixth Sense Ventures",,1200000
2020,FoodyBuddy,Food Industry,FoodyBuddy is a online food delivery portal,Belgaum,Rebel Foods,,600000
2020,Zomato,Food Delivery,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,Gurgaon,"Kora, Tiger Global Management",,660000000
2020,OurEye.ai,Virtual auditing startup,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",Bangalore,"100X VC, Amara Ventures",,120000
2020,Shiprocket,E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,New Delhi,"Bertelsmann India Investments, InnoVen Capital",Series C,7500000
2020,Pine Labs,FinTech,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,Noida,"Mastercard, Temasek Holdings",,NaN
2020,Moneyboxx Finance,FinTech,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,New Delhi,"BlackSoil, Caspian",,1000000
2020,EWar,Gaming,EWar Games is a e-sports and real-time gaming start-up.,Bangalore,"Jindal Steels, Jeet Banerjee",Pre-series A,NaN
2020,SucSEED Indovation,FinTech,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Hyderabad,,,5000000
2020,TaxBuddy.com,FinTech,TaxBuddy for any tax related issues.,Mumbai,Zenith Global,,1000000
2020,Awign Enterprises,Work fulfillment,Operations and manpower outsourcing startup,Bangalore,"Unitus Ventures, Work10M",,500000
2020,Circle of Angels,FinTech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Gurgaon,,,3000000
2020,CoinDCX,FinTech,CoinDCX is a company that specializes in crypto-enabled financial services.,Mumbai,"Coinbase Ventures, Polychain",Series B,10000000
2020,Glance,AI startup,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Bangalore,Mithril Capital Management.,,145000000
2020,VerSe Innovation,Telecommunication,Owner of Dailyhunt App and I-Pay,Bangalore,Google,,100000000
2020,Voosh,Food Industry,Building India's largest digital food service brand,Bangalore,Better Capital,Pre-seed,NaN
2020,Delhivery,E-commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,Gurgaon,"Steadview Capital, Canada Pension Plan Investment Board",,0
2020,Arya,AgriTech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",Noida,Quona Capital,Series B,21000000
2020,Pickrr,Logistics,Pickrr is an on-demand first mile logistics company,New Delhi,Swastika,,4000000
2020,PhonePe,FinTech,PhonePe is a mobile payment application that enables users to transfer money instantly.,Andheri,"Flipkart, Walmart",,20000000
2020,Countingwell,EdTech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Bangalore,"Delhi Private School, UAE, Interstar",Pre-series A,1000000
2020,Callify.ai,Tech Startup,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,Mumbai,Malpani Ventures,Seed,560000
2020,Hudle,Sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,New Delhi,Survam Partners,Pre-series A,NaN
2020,Cover it Up,E-commerce,Online portal that churns out high quality products,Chennai,Angel investors,Seed,400000
2020,BiteSpeed,E-commerce,Chat-based commerce for E-commerce brands,Gurgaon,Whiteboard Capital,Seed,275000
2020,WakeFit,Retail,Wakefitkart is a mattress manufacturing company,Bangalore,Sequoia Capital.,Series B,20000000
2020,Sreyas Holistic Remedies,Medtech,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Hyderabad,Blacksoil,,1000000
